Australian Peoples
New Zealand Peoples
Melanesian and Papuan
Micronesian
Polynesian
British
Irish
Western European
Northern European
Southern European
South Eastern European
Eastern European
Arab
Jewish
Peoples of the Sudan
Other North African and Middle Eastern
Mainland South-East Asian
Maritime South-East Asian
Chinese Asian
Other North-East Asian
Southern Asian
Central Asian
North American
South American
Central American
Caribbean Islander
Central and West African
Southern and East African
Do not wish to declare
