Strongly disagree;Stimme überhaubt nicht zu;Pas du tout d’accord
Disagree;Stimme nicht zu;Pas d’accord
Neither agree or disagree;Weder Zustimmung noch Ablehnung;Neutre
Agree;Stimme zu;D’accord
Strongly Agree;Stimme voll zu;Tout à fait d’accord
