Permanent -- funded by Institution core funding;Unbefristet -- finanziert durch Institutsmittel/Haushaltsmittel
Permanent -- as long as funding is available;Unbefristet -- finanziert durch Drittmittel/Projektgelder
Fixed term -- funded by Institution core funding;Befristet -- finanziert durch Institutsmittel/Haushaltsmittel
Fixed term -- as long as funding is available;Befristet -- finanziert durch Drittmittel/Projektgelder
Research/Student Assistant;Wissenschaftliche/Studentische Hilfskraft
Agency staff;Leiharbeiter/Fremdarbeiter
Freelancer, consultant, contractor;Selbständig/freischaffend
Zero hours contract;Arbeitsvertrag mit einer Mindestbeschäftigungszeit von null Stunden
"Prefer not to say";"keine Angabe"
