"This is my first job";"Dies ist meine erster Job"
"University";"Universität"
"Private company";"Privatwirtschaft"
"Government";"Öffentliche Verwaltung"
"NGO";"Nichtregierungsorganisation"
"National laboratory";"Nationales Forschungsinstitut"
"Non-profit organization";"Gemeinnützige Organisation"
