"Networking";"Vernetzung"
"Research collaborations";"Kooperation in der Forschung"
"Training";"Ausbildung, Weiterbildung"
"Research software standards and interoperability definition";"Standards für Forschungssoftware und Interoperabilität"
"Job opportunities";"Job-Möglichkeiten"
