"Not mentioned at all";"Überhaupt nicht erwähnt"
"Acknowledged in the main text";"Im Artikel / Haupttext erwähnt"
"Acknowledged in the acknowledgements section";"Im Abschnitt Anerkennungen (Acknowledgements) erwähnt"
"Named as co-author(s)";"Als Co-Autor(en) genannt"
"Named as main author(s)";"Als Hauptautor(en) genannt"
