Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,Yes,No,
 Do any of your current projects accommodate the open/public sharing of data?,39,52,19
 Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,15,16,79
