How many software projects are you currently involved in?,proj1_can. How many software projects are you currently involved in?
0,4.0
1,5.0
2,1.0
3,5.0
4,4.0
5,4.0
6,2.0
7,2.0
8,20.0
9,5.0
10,0.0
11,8.0
12,1.0
13,2.0
14,4.0
15,1.0
16,5.0
17,6.0
18,4.0
19,2.0
20,
21,
22,5.0
23,2.0
24,2.0
25,
26,3.0
27,2.0
28,13.0
29,4.0
30,2.0
31,10.0
32,3.0
33,2.0
34,3.0
35,2.0
36,3.0
37,
38,2.0
39,5.0
40,5.0
41,5.0
42,4.0
43,2.0
44,2.0
45,1.0
46,7.0
47,2.0
48,3.0
49,
50,10.0
51,5.0
52,2.0
53,3.0
54,30.0
55,3.0
56,8.0
57,0.0
58,1.0
59,1.0
60,5.0
61,1.0
62,4.0
63,5.0
64,5.0
65,2.0
66,2.0
67,4.0
68,9.0
69,4.0
70,
71,5.0
72,
73,
74,2.0
75,1.0
76,
77,1.0
78,2.0
79,1.0
80,1.0
81,5.0
82,6.0
83,2.0
84,2.0
85,2.0
86,4.0
87,
88,10.0
89,3.0
90,2.0
91,3.0
92,5.0
93,3.0
94,5.0
95,2.0
96,4.0
97,
98,1.0
99,2.0
100,4.0
101,2.0
102,4.0
103,1.0
104,2.0
105,2.0
106,5.0
107,4.0
108,3.0
109,1.0
