What would you hope to get out of such an organization?,Count [PERCENTAGE]
Networking,22.171945701357465
Software collaborations,19.457013574660635
Training,18.099547511312217
Research collaborations,15.837104072398189
Research Software Standards and Interoperability,15.837104072398189
Job opportunities,8.597285067873303
