What is the highest level of education you have attained?,edu1. What is the highest level of education you have attained? [PERCENTAGE]
Doctorate,44.54545454545455
Masters Degree,27.27272727272727
Bachelors Degree,17.272727272727273
College Diploma,5.454545454545454
Some University,4.545454545454546
Some College,0.9090909090909091
