Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,Yes,No
 Do any of your current projects accommodate the open/public sharing of data?,42.857142857142854,57.14285714285714
 Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,48.38709677419355,51.61290322580645
