What development methodology does your current project use?,proj6_can. What development methodology does your current project use? [PERCENTAGE]
No formal methodology,63.63636363636363
Scrum,11.11111111111111
Kanban,10.1010101010101
Other,8.080808080808081
Waterfall,7.07070707070707
