How is your current research software work funded?,Count
 How is your current research software work funded? [Employer],52
 How is your current research software work funded? [Natural Sciences and Engineering Research Council of Canada (NSERC)],43
 How is your current research software work funded? [Canadian Foundation for Innovation (CFI)],19
 How is your current research software work funded? [CANARIE],17
 How is your current research software work funded? [I don't know],11
 How is your current research software work funded? [Canadian Institutes of Health Research (CIHR)],10
 How is your current research software work funded? [Genome Canada],8
 How is your current research software work funded? [Social Sciences and Humanities Research Council (SSHRC)],4
