What platform(s) are your research software projects deployed on?,Count [PERCENTAGE]
Laptop/desktop,26.066350710900476
Stand-alone server(s),21.80094786729858
Compute Canada HPC,16.113744075829384
Cloud service,11.374407582938389
University computer centre,10.90047393364929
Other HPC,9.95260663507109
Mobile,3.7914691943127963
