Publications,Yes,No
 Have you contributed software to research that has been published in a journal or presented at a conference?,76.23762376237624,23.762376237623762
" In general, when your software contributes to a paper, are you acknowledged in that paper?",69.89247311827957,30.107526881720432
 Are you generally named as the main author of the paper?,26.881720430107524,73.11827956989248
 Are you generally named as a co-author of the paper?,57.14285714285714,42.857142857142854
