Publications,Yes,No,
 Have you contributed software to research that has been published in a journal or presented at a conference?,77,24,9
" In general, when your software contributes to a paper, are you acknowledged in that paper?",65,28,17
 Are you generally named as the main author of the paper?,25,68,17
 Are you generally named as a co-author of the paper?,52,39,19
