What is the nature of your current employment?,currentEmp10. What is the nature of your current employment? [PERCENTAGE]
Full-time,77.88461538461539
Contract,7.6923076923076925
Grad student,3.8461538461538463
Part-time,3.8461538461538463
Other,3.8461538461538463
Co-op/intern,1.9230769230769231
Self-employed,0.9615384615384616
