Is there such a group within your organization?,Yes,No
 Do you work within a group that provides software development help or expertise to researchers from across your organization?,55.00000000000001,45.0
 Is there such a group within your organization?,28.57142857142857,71.42857142857143
 Do you think such a group would have value?,76.19047619047619,23.809523809523807
 Would you be interested in participating in such a group?,80.0,20.0
