"UK RSE Association";"UK RSE Association"
"DE-RSE Community";"DE-RSE Community"
"Local RSE group/network";"Andere RSE Gruppen und RSE ähnliche Netzwerke"
"N/A";"nicht zutreffend / keine Angabe"
