"University";"Universität"
"University of Applied Sciences";"Fachhochschole"
"Private Company";"Wirtschaft, Industrie"
"Government";"öffentliche Verwaltung"
"Fraunhofer Society";"Fraunhofer-Gesellschaft"
"Helmholtz Association of German Research Centres";"Helmholtz-Gemeinschaft Deutscher Forschungszentren"
"Leibniz Association";"Leibniz-Gemeinschaft"
"Max Planck Society";"Max-Planck-Gesellschaft "
"Other";"Andere"
