"Minimal wage growth";"Unzureichende Lohnsteigerung"
"Lack of opportunity to advance";"Mangel an Möglichkeiten, um sich weiterzuentwickeln und vorwärts zu kommen"
"Excessive overtime hours";"Unverhältnismäßig viele Überstunden"
"Loss of faith and confidence in corporate leaders";"Verlust des Glaubens und des Vertrauens in die Führungskräfte"
"Lack of decision-making power";"Mangel an Entscheidungsbefugnissen"
"A work environment that does not encourage teamwork";"Das Arbeitsumfeld fördert keine Teamarbeit"
"Mismatch between description and promise during the interview and actual job";"Diskrepanz zwischen Stellenbeschreibung in Anzeige und Vorstellungsgespräch und der tatsächlichen Arbeit"
"Management lacks people skills";"Dem Management fehlt es an menschlichen Fähigkeiten / an Fähigkeiten im Umgang mit Menschen"
"Others";"Andere"
