"University of Applied Sciences Landshut";"Hochschule für angewandte Wissenschaften Landshut"
"Munich University of Applied Sciences";"Hochschule für angewandte Wissenschaften München"
"University of Applied Sciences Würzburg-Schweinfurt";"Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt"
"University of Public Administration in Bavaria";"Hochschule für den öffentlichen Dienst in Bayern"
"Hochschule für nachhaltige Entwicklung Eberswalde";"Hochschule für nachhaltige Entwicklung Eberswalde"
"Humboldt-Viadrina School of Governance";"Humboldt-Viadrina School of Governance"
"Catholic University of Applied Sciences Freiburg";"Katholische Hochschule Freiburg"
"Catholic University of Applied Social Sciences";"Katholische Hochschule für Sozialwesen Berlin"
"Katholische Stiftungsfachhochschule München";"Katholische Stiftungsfachhochschule München"
"Medical School Hamburg";"MSH Medical School Hamburg – Fachhochschule für Gesundheit und Medizin"
"MSB Medical School Berlin";"Medical School Berlin"
"Medizinische Hochschule Brandenburg Theodor Fontane";"Medizinische Hochschule Brandenburg"
"Merz Akademie";"Merz Akademie"
"Natural Science and Technical Academy Isny";"Naturwissenschaftlich-Technische Akademie Isny"
"Amberg Institute for Energy Technology";"Ostbayerische Technische Hochschule Amberg – Weiden"
"Regensburg University of Applied Sciences";"Ostbayerische Technische Hochschule Regensburg"
"Ostfalia University of Applied Sciences";"Ostfalia Hochschule für angewandte Wissenschaften"
"Private University of Applied Sciences";"PFH Private Hochschule Göttingen"
"University of Applied Sciences Wedel";"Private Fachhochschule Wedel"
"Hanseatic University Rostock";"Private Hanseuniversität"
"Private Hochschule für Wirtschaft und Technik";"Private Hochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg"
"Rheinische Fachhochschule Cologne";"Rheinische Fachhochschule Köln"
"Deggendorf Institute of Technology";"Technische Hochschule Deggendorf"
"Cologne University of Applied Sciences";"Technische Hochschule Köln"
"Technische Hochschule Mittelhessen";"Technische Hochschule Mittelhessen"
"Theological Faculty of Paderborn";"Theologische Fakultät Paderborn"
"Friedensau Adventist University";"Theologische Hochschule Friedensau"
"Touro College Berlin";"Touro College Berlin"
"Environment Campus Birkenfeld";"Umwelt-Campus Birkenfeld"
"Westsächsische Hochschule Zwickau - University of Applied Sciences";"Westsächsische Hochschule Zwickau"
"Wildau Institute of Technology";"Wildau Institute of Technology"
