< AUD 45,000
≥ AUD 45,000 and < AUD 65,000
≥ AUD 65,000 and < AUD 85,000
≥ AUD 85,000 and < AUD 105,000
≥ AUD 105,000 and < AUD 120,000
≥ AUD 120,000
