< NZD 45,000
≥ NZD 45,000 and < NZD 65,000
≥ NZD 65,000 and < NZD 85,000
≥ NZD 85,000 and < NZD 105,000
≥ NZD 105,000 and < NZD 120,000
≥ NZD 120,000
