European: New Zealand European
European: British
European: South African
European: Dutch
European: English
European: Any other European background
Maori
Pacific islander: Samoan
Pacific islander: Cook islands
Pacific islander: Tongan
Pacific islander: Niuean
Asian: Chinese
Asian: Indian
Asian: Any other Asian background
Other Ethnic group: Any other ethnic group
Do not wish to declare
