,Strongly disagree,Disagree,Neither agree or disagree,Agree,Strongly Agree
I find real enjoyment in my job,4,10,20,95,96
Most days I am enthusiastic about my job,5,16,37,115,50
I feel satisfied with my job,9,26,40,111,29
I like my job more than average,7,10,41,101,55
