,Count
Computer Science,112
Biological Sciences,87
Physics and Astronomy,80
Mathematics,42
Chemistry,39
Medicine,37
Geography & Environmental Sciences,34
Electrical & Electronic Engineering,25
Mechanical Engineering,24
General Engineering,20
Materials Technology,17
Education,15
Psychology,12
Chemical Engineering,12
Civil Engineering,12
Aeronautical & Manufacturing Engineering,11
Geology,11
Linguistics,11
Anatomy & Physiology,11
Librarianship & Information Management,9
Robotics,9
History,8
Architecture,8
Sociology,8
Economics,8
Classics & Ancient History,7
Social Policy,7
Business & Management Studies,7
Pharmacology & Pharmacy,6
Agriculture & Forestry,6
Middle Eastern and African Studies,5
Anthropology,5
Ophthalmics,4
Food Science,4
Theology & Religious Studies,4
Town & Country Planning and Landscape Design,4
Communication & Media Studies,4
Art & Design,4
"History of Art, Architecture & Design",3
Law,3
Nursing,3
Politics,2
Land & Property Management,2
Philosophy,2
English,2
Physiotherapy,1
Social Work,1
Sports Science,1
Veterinary Medicine,1
Youth Work,1
Music,1
Marketing,1
Iberian Languages/Hispanic Studies,1
"Hospitality, Leisure, Recreation & Tourism",1
German,1
French,1
Fashion,1
East & South Asian Studies,1
Dentistry,1
Criminology,1
Counselling,1
Complementary Medicine,1
American Studies,1
Russian & East European Languages,0
Accounting & Finance,0
