Section,Type,Question,Format,Mandatory,Conditional,Diff from original,Source of information,Change for each country?,Comment
1,socio1,In which country do you work?,Drop down list,Y,,changed,https://github.com/datasets/country-list,,"Changed the source of information, and the question from ""live"" to ""work"""
1,edu1,"

What is the highest qualification you have obtained?
",Drop down list,Y,,same,,y,Need to be adapted to different levels for different countries – See education_levels_uk.txt
1,edu2,In which subject is your highest academic qualification?,Drop down list,Y,if qualification,changed,http://www.thecompleteuniversityguide.co.uk/courses,,Relatively generic. Seems applicable everywhere. Reworded the question for clarity.
1,edu3,Enter your academic subject,FREETEXT,,if other at the previous one,same,,,
1,edu4,"Do you hold any professional qualifications? If yes, please enter them separated by commas.",FREETEXT,N,,same,,,Purpose? Could be removed – way too many possibilities
,rse1,Do you write code as part of your job?,Y/N/NA,Y,,added,,,To easily filter out those who do not write software
1,rse2,How do you divide your time at work?,Likert (RSE),Y,,changed,,,Changed from yes/no to Likert scale question with even number of responses. (Mostly conducting to Mostly developing software)
,rse3,Who uses the code that you write?,Likert (RSE),Y,,added,,,"Scale from Mostly myself to Mostly other people. To identify whether they're just using their own code, or writing for other people"
1,,Do you spend more time developing software than conducting research?,Y/N/NA,Y,,removed,,,
1,,Are you employed as a postdoctoral researcher?,Y/N/NA,,,removed,,,Preconception of the role and too limitating. We can still extract the info from job title.
1,,"Are you the person who ""does computers"" in your research group?",Y/N/NA,Y,,removed,,,
2,currentEmp1,Do you work for a university?,Y/N/NA,Y,,same,,,
2,currentEmp2,In which University?,Drop down list,Y,,same,Lost source but modified to include different London Univ,y,Need to be adapted for each countries
2,currentEmp3,Enter which university,FREETEXT,Y,If others at previous question,same,,,
2,currentEmp4,Which organisation do you work for?,FREETEXT,Y,If not working at uni,changed,,,Updated English
2,currentEmp5,What is your official job title?,FREETEXT,Y,,same,,,
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",FREETEXT,N,,modified,,,Reworded to avoid one preliminary question
2,currentEMp7,Do you primarily work across multiple disciplines?,Y/N/NA,Y,,added,,,Allows us to check whether they see themselves as a multi-disciplinary person
2,currentEmp8,In which academic subject do you primarily work?,Drop down list,Y,,modified,Same source as for academic field,,May add a “Other field” with a conditional for a FREETEXT. Updated to limit them to provide the subject in which they primarily work
