,Count [PERCENTAGE]
"Federal and state governments (BMBF, BMWi, BMVg and other sections)",37.98
"DFG, German Research Foundation",31.01
"European Union (e.g. H2020, COST, EUREKA)",12.89
I volunteer my time,7.32
"Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)",4.53
Industry support,2.44
Consulting & services,1.39
Membership,1.05
Stifterverband,0.35
Associations and chambers,0.35
Venture capital,0.35
Dual license,0.35
Crowdfunding (one-time),0.0
Crowdfunding (recurring),0.0
Open core,0.0
Trademark licensing & franchising,0.0
