Would you like to visit a conference about software development in academia in Germany?,Yes,No
 Would you like to visit a conference about software development in academia in Germany?,77.66497461928934,22.33502538071066
 We may contact you for a possible conference announcement via email,94.28571428571428,5.714285714285714
