,I find real enjoyment in my job,Most days I am enthusiastic about my job,I feel fairly well satisfied with my job,I like my job better than the average person
Strongly disagree,25.0,32.142857142857146,21.428571428571427,21.428571428571427
Disagree,19.791666666666664,31.25,34.375,14.583333333333334
Neither agree or disagree,22.127659574468083,30.21276595744681,20.425531914893615,27.23404255319149
Agree,26.129666011787815,23.575638506876228,26.522593320235753,23.772102161100197
Strongly Agree,27.884615384615387,18.75,22.596153846153847,30.76923076923077
