,I find real enjoyment in my job,Most days I am enthusiastic about my job,I feel fairly well satisfied with my job,I like my job better than the average person
Strongly disagree,7,9,6,6
Disagree,19,30,33,14
Neither agree or disagree,52,71,48,64
Agree,133,120,135,121
Strongly Agree,58,39,47,64
