General satisfaction,"In general, how satisfied are you with Your current position","In general, how satisfied are you with Your career"
﻿0 - Not at all satisfied,3,4
1,3,4
2,9,11
3,10,16
4,10,16
5,20,25
6,39,38
7,48,58
8,79,55
9,31,28
10 - Completely satisfied,17,14
