Reasons to choose this job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to work in a research environment,80,47,40,27,26
Freedom to choose own working practices,78,54,42,30,32
Desire to advance research,49,40,26,32,20
I want to learn new skills,29,50,62,58,46
Opportunity to develop software,21,34,26,39,34
Flexible working hours,19,28,44,38,51
Ability to work across disciplines,17,36,47,45,49
Opportunity for career advancement,17,20,16,24,23
The salary,6,6,12,21,33
,9,10,10,11,11
