,Yes,No
ukrse12de. Would you like to visit a conference about software development in academia in Germany?,77.78,22.22
ukrse13de. We may contact you for a possible conference announcement via email. If you allow then please add your email address here: https://goo.gl/WizV7d,93.75,6.25
