"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?","currentWork1. Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?"
Same researcher(s),192
Regularly change researcher(s),107
,26
