Publications,Yes,No
 Has your software contributed to research that has been published in a journal or at a conference?,82.66666666666667,17.333333333333336
" In general, when your software contributes to a paper, are you acknowledged in that paper?",70.66666666666667,29.333333333333332
 Are you generally named as the main author of the paper?,32.54716981132076,67.45283018867924
 Are you generally named as a co-author of the paper?,77.62237762237763,22.377622377622377
 Are you generally acknowledged in the main text of the paper?,68.75,31.25
