,Which Max-Planck institute do you work for?
Max Planck Institute for Gravitational Physics,8
Max Planck Institute of Molecular Cell Biology and Genetics,5
Other,4
Max Planck Institute for Biophysical Chemistry,4
Max Planck Institute for Physics,3
Max Planck Institute for Dynamics of Complex Technical Systems,3
Max Planck Institute for Evolutionary Biology,2
Max Planck Institute for Brain Research,2
Max Planck Institute for Colloids and Interfaces,2
Gmelin Institute,1
Max Planck Institute for Computer Science,1
Max Planck Institute for Plant Breeding Research,1
Max Planck Institute for Medical Research,1
Max Planck Institute for the History of Science,1
Max Planck Institute for Dynamics and Self-Organization,1
Max Planck Institute for Ornithology,1
Max Planck Institute for Metabolism Research,1
Max Planck Institute for the Science of Human History,1
,109
