,Yes,No
rse1. Do you write code as part of your job?,95.93,4.07
"rse4de. Are you involved and responsible for software projects with non-coding activities as part of your job, e.g. do you lead a software projects, design software architectures or UIs, testing, write documentation?",55.93,44.07
