,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to work in a research environment,36.87,21.2,17.51,12.44,11.98
Freedom to choose own working practices,32.62,23.18,18.03,12.88,13.3
Desire to advance research,29.7,23.03,15.76,19.39,12.12
I want to learn new skills,12.03,20.33,25.73,23.24,18.67
Opportunity to develop software,13.82,22.37,17.11,24.34,22.37
Flexible working hours,10.67,15.73,23.6,21.35,28.65
Opportunity for career advancement,17.0,20.0,16.0,24.0,23.0
Ability to work across disciplines,7.89,18.95,24.74,23.68,24.74
The salary,7.69,7.69,15.38,26.92,42.31
