,Do you receive sufficient information on the results of your work?,Does your work give you the opportunity to check on how well you are doing your work?,"In your work, do you have access to sufficient data and information?",Do you receive sufficient information on the purpose of your work?,Does your work provide you with direct feedback on how well you are doing your work?,Does your supervisor/line manager inform you about how well you are doing your work?,Do your colleagues inform you about how well you are doing your work?
﻿1 (None at all),4.477611940298507,14.925373134328357,2.9850746268656714,8.955223880597014,11.940298507462686,37.3134328358209,19.402985074626866
2,7.82608695652174,19.130434782608695,7.82608695652174,4.3478260869565215,20.869565217391305,16.52173913043478,23.47826086956522
3,15.492957746478872,15.492957746478872,5.633802816901409,4.929577464788732,20.422535211267608,20.422535211267608,17.6056338028169
4,11.38211382113821,22.76422764227642,7.317073170731707,4.0650406504065035,22.76422764227642,15.447154471544716,16.260162601626014
5,12.280701754385964,19.298245614035086,8.771929824561402,8.771929824561402,11.11111111111111,19.883040935672515,19.883040935672515
6,13.043478260869565,17.391304347826086,9.782608695652174,8.695652173913043,15.217391304347828,17.391304347826086,18.478260869565215
7,14.539007092198581,16.666666666666664,15.24822695035461,12.056737588652481,15.24822695035461,10.638297872340425,15.602836879432624
8,16.923076923076923,11.076923076923077,20.923076923076923,15.076923076923077,15.692307692307692,10.461538461538462,9.846153846153847
9,15.355805243445692,6.741573033707865,20.973782771535582,27.340823970037455,9.363295880149813,10.112359550561797,10.112359550561797
10 (All my time),18.83408071748879,10.31390134529148,19.282511210762333,27.3542600896861,7.623318385650224,9.865470852017937,6.726457399103139
