"In general, what sort of testing do you conduct on your software? (check all that apply)",Count [PERCENTAGE]
Developers conduct testing,48.08043875685558
Users conduct testing,33.27239488117002
No formal testing,14.990859232175502
Test engineers conduct testing,3.656307129798903
