Where was your previous job based?,prevEmp1. Where was your previous job based? [PERCENTAGE]
University,54.11392405063291
Max Planck Society,11.075949367088606
Private Company,10.443037974683545
Other,10.443037974683545
Helmholtz Association of German Research Centres,6.962025316455696
Leibniz Association,3.79746835443038
Government,2.2151898734177213
University of Applied Sciences,0.949367088607595
