Where was your previous job based?,prevEmp1. Where was your previous job based?
University,171
Max Planck Society,35
Private Company,33
Other,33
Helmholtz Association of German Research Centres,22
Leibniz Association,12
Government,7
University of Applied Sciences,3
,9
