,It is likely that I will gain a promotion within my current group,The process I have to complete to gain a promotion is clear and understandable,There are many opportunities within my chosen career plan,My current position is an integral part of my career plan,It is likely that my next position will be an RSE role
Strongly disagree,35.661764705882355,29.77941176470588,16.911764705882355,4.779411764705882,12.867647058823529
Disagree,25.757575757575758,21.59090909090909,24.62121212121212,15.151515151515152,12.878787878787879
Neither agree or disagree,18.65671641791045,17.16417910447761,15.92039800995025,19.154228855721392,29.1044776119403
Agree,6.569343065693431,14.233576642335766,25.18248175182482,29.56204379562044,24.45255474452555
Strongly Agree,8.270676691729323,17.293233082706767,18.796992481203006,43.609022556390975,12.030075187969924
