"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?","currentWork1. Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with? [PERCENTAGE]"
Same researcher(s),64.21404682274247
Regularly change researcher(s),35.785953177257525
