What type of organisation do you work for?,currentEmp1. What type of organisation do you work for? [PERCENTAGE]
University,30.153846153846153
Helmholtz Association of German Research Centres,25.23076923076923
Max Planck Society,24.615384615384617
Leibniz Association,7.6923076923076925
Other,7.384615384615385
Private Company,2.1538461538461537
Government,1.8461538461538463
Fraunhofer Society,0.6153846153846154
University of Applied Sciences,0.3076923076923077
