,Do you receive sufficient information on the results of your work?,Does your work give you the opportunity to check on how well you are doing your work?,"In your work, do you have access to sufficient data and information?",Do you receive sufficient information on the purpose of your work?,Does your work provide you with direct feedback on how well you are doing your work?,Does your supervisor/line manager inform you about how well you are doing your work?,Do your colleagues inform you about how well you are doing your work?
﻿1 (None at all),3,10,2,6,8,25,13
2,9,22,9,5,24,19,27
3,22,22,8,7,29,29,25
4,14,28,9,5,28,19,20
5,21,33,15,15,19,34,34
6,24,32,18,16,28,32,34
7,41,47,43,34,43,30,44
8,55,36,68,49,51,34,32
9,41,18,56,73,25,27,27
10 (All my time),42,23,43,61,17,22,15
