,"In general, how satisfied are you with Your current position","In general, how satisfied are you with Your career"
﻿0 - Not at all satisfied,43.0,57.0
1,43.0,57.0
2,45.0,55.0
3,38.0,62.0
4,38.0,62.0
5,44.0,56.0
6,51.0,49.0
7,45.0,55.0
8,59.0,41.0
9,53.0,47.0
10 - Completely satisfied,55.0,45.0
