Affective recognition,I am satisfied with my supervisor/line manager's confidence in me,I am satisfied with a word of thanks from my supervisor/line manager,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,I am satisfied with the compliments from my supervisor/line manager concerning my work,I am satisfied with the encouragement from my supervisor/line manager while doing my job
Strongly disagree,8.24742268041237,22.68041237113402,23.711340206185564,19.587628865979383,25.773195876288657
Disagree,14.473684210526317,16.447368421052634,25.0,17.763157894736842,26.31578947368421
Neither agree or disagree,13.90728476821192,23.509933774834437,19.205298013245034,22.185430463576157,21.192052980132452
Agree,20.428015564202333,21.40077821011673,19.06614785992218,19.844357976653697,19.26070038910506
Strongly Agree,32.857142857142854,14.642857142857144,18.571428571428573,19.28571428571429,14.642857142857144
