Who uses the code that you write?,rse3[SQ001]. Who uses the code that you write? [] [PERCENTAGE]
0 - Mostly me,8.307692307692308
1,20.923076923076923
2,22.46153846153846
3,16.0
4,16.615384615384617
5 - Mostly other people,15.692307692307692
