,My current job satisfies my personal needs,I would accept another job at the same compensation level if I was offered it
Strongly disagree,12.643678160919542,87.35632183908046
Disagree,37.301587301587304,62.698412698412696
Neither agree or disagree,48.739495798319325,51.26050420168067
Agree,73.24840764331209,26.751592356687897
Strongly Agree,77.55102040816327,22.448979591836736
