,Strongly disagree,Disagree,Neither agree or disagree,Agree,Strongly Agree
I find real enjoyment in my job,6,17,48,121,54
Most days I am enthusiastic about my job,7,29,65,110,35
I feel fairly well satisfied with my job,5,31,45,122,43
I like my job better than the average person,5,14,60,111,56
