section,code,question,answer_format,answer_file,other,condition,mandatory,random,public,order_question,source,comment,lang_trans1,lang_trans2,lang_trans3
1,socio1,In which country do you work?,ONE CHOICE,countries,,,Y,,,FALSE,https://github.com/datasets/country-list,,,,
1,edu1,What is the highest qualification you have obtained?,ONE CHOICE,education_nl,Y,,Y,,,TRUE,,,,,
1,edu2,In which subject is your highest academic qualification?,ONE CHOICE,academic_field,Y,"(edu1 != ""None"")",Y,,,FALSE,http://www.thecompleteuniversityguide.co.uk/courses,,,,
1,rse1,Do you write code as part of your job?,Y/N/NA,,,,Y,,,,,,,,
1,rse3,Who uses the code that you write?,LIKERT,likert_usage_5,,,Y,,,,,,,,
1,soft2can,Do you consider yourself a professional software developer?,Y/N/NA,,,,Y,,,,,,,,
1,soft1can,How many years of software development experience do you have?,FREENUMERIC,,,,Y,,,,,,,,
1,time1can,"In an average month, how much time do you spend on software development",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time2can,"In an average month, how much time do you spend on Research",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time3can,"In an average month, how much time do you spend on Management",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time4can,"In an average month, how much time do you spend on Teaching",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time5can,"In an average month, how much time do you spend on Other activities",LIKERT,likert_time_10,,,Y,,,,,,,,
2,currentEmp1,What type of organisation do you work for?,ONE CHOICE,type_organisation_nl,Y,,Y,,,FALSE,,,,,
2,currentEmp2,Which University / Medical Center / Applied University (HBO)?,ONE CHOICE,universities_nl,Y,"(currentEmp1 == ""University / University Medical Center / Applied University (HBO)"")",,,FALSE,FALSE,Lost source but modified to include different London Univ,,,,
2,currentEmp4,Which organisation do you work for?,ONE CHOICE,organisations_nl,Y,"(currentEmp1 == ""Research Institute (Onderzoeksinstituut / Publieke Kennisorganisatie)"")",,,FALSE,,,,,,
2,currentEmp20,Which company do you work for?,FREETEXT,,,"(currentEmp1 == ""Private Company"")",,,FALSE,,,,,,
2,currentEmp5,What is your official job title?,FREETEXT,,,,,,FALSE,,,,,,
2,currentEmp6,"Are you known by a different job title? If so, please enter the job title you use",FREETEXT,,,,,,FALSE,,,,,,
2,currentEmp12,Do you work full time (36 hours or more) or part time?,ONE CHOICE,type_hours,,,Y,,,FALSE,,,,,
2,currentEmp10,What type of? contract are you employed on?,ONE CHOICE,type_contract_nl,Y,,Y,,,FALSE,Lost source but modified,,,,
2,currentEmp11,What is the duration of your current contract?,FREENUMERIC,,,,Y,,,,,,,,
2,currentEmp13,In which disciplines do you work (select as many as apply),MULTIPLE CHOICES,academic_field,Y,,Y,,,FALSE,Same source as for academic field,,,,
4,paper1,Has? your software contributed to research that has been published? in? a journal or at a conference?,Y/N/NA,,,,Y,,,,,,,,
4,paper2,"In general, when your software contributes to a paper, are you acknowledged in that paper?",Y/N/NA,,,,Y,,,,,,,,
4,paper3,Are you generally named as the main author of the paper?,Y/N/NA,,,"(paper2 == ""Y"")",Y,,,,,,,,
4,paper4,Are you generally named as a co-author of the paper?,Y/N/NA,,,"(paper3 == ""N"") and (paper2 == ""Y"")",Y,,,,,,,,
4,paper5,Are you generally acknowledged in the main text of the paper? ,Y/N/NA,,,"(paper4 == ""N"") and (paper2 == ""Y"")",Y,,,,,,,,
4,conf1can,Have you ever presented your software work at a conference or workshop?,Y/N/NA,,,,Y,,,,,,,,
4,proj1can,How many software projects are you currently involved in?,FREENUMERIC,,,,Y,,,,,,,,
4,stability1,What is the bus factor of your most important software project? (the bus factor is the number of team members who if run over by a bus  would put the project in jeopardy so 1 means the project is dependent on a single person),ONE CHOICE,bus_factor,,,Y,,,,,,,,
4,stability2,Is there a? technical hand-over plan for your most important software project?,Y/N/NA,,,,Y,,,,,,,,
4,proj4can,"In general, what sort of testing do you conduct on your software? (check all that apply) ",MULTIPLE CHOICES,testing,,,Y,,,FALSE,,,,,
4,open01can,Have you ever released your software under an open-source licence? ,Y/N/NA,,,,Y,,,,,,,,
4,open1can,How often do you release the software projects you've worked on under an open-source licence?,LIKERT,likert_time_10,,"(open01can == ""Y"")",Y,,,,,,,,
4,open03can,Have you ever used a Digital Object Identifier (DOI) to identify your software? ,Y/N/NA,,,,Y,,,,,,,,
4,open3can,How often do you associate your software with a Digital Object Identifier (DOI)? ,LIKERT,likert_time_10,,"(open03can == ""Y"")",Y,,,,,,,,
4,train1,Have you ever trained researchers in computational techniques? ,Y/N/NA,,,,Y,,,,,,,,
4,train2,"On average, how many times a year do you take part in providing training? ",FREENUMERIC,,,"(train1 == ""Y"")",Y,,,,,,,,
4,train3,"What training programs are you involved with (comma separated list)  (For example, Software Carpentry, local university training, etc.) ",FREETEXT,,,"(train1 == ""Y"")",Y,,,,,,,,
5,perfCheck1,Do you receive sufficient information on the results of your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck3,"In your work, do you have access to sufficient data and information?",LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
5,progRSE1,It is likely that I will gain a promotion within my current group,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE2,The process I have to complete to gain a promotion is clear and understandable,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE3,There are many opportunities within my chosen career plan,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE4,My current position is an integral part of my career plan,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,progRSE5,It is likely that my next position will be an RSE role,LIKERT,likert_agree,,,Y,Y,,,,,,,
5,turnOver2,How often do you look forward to another day at work?,LIKERT,likert_time_5,,,Y,Y,,,,,,,
