"In general, what sort of testing do you conduct on your software? (check all that apply)",Count [PERCENTAGE]
Developers conduct testing,56.74157303370787
Users conduct testing,27.808988764044944
No formal testing,10.393258426966293
Test engineers conduct testing,5.056179775280898
