"In an average month, how much time do you spend on:",Software development,Research,People management,Project management,Teaching,Other activities
1 (None at all),5,45,102.0,32,109.0,52.0
2,16,58,76.0,86,77.0,88.0
3,24,37,33.0,58,33.0,40.0
4,35,29,16.0,23,17.0,29.0
5,35,25,6.0,26,6.0,19.0
6,24,20,7.0,11,8.0,10.0
7,50,20,7.0,9,1.0,10.0
8,41,10,5.0,4,,
9,16,7,,2,1.0,3.0
10 (All my time),7,2,1.0,2,1.0,2.0
