What is the duration of your current contract in months?,currentEmp11. What is the duration of your current contract in months? [PERCENTAGE]
0,0.0
1,2.0779220779220777
2,1.6623376623376624
3,0.0
4,0.0
5,0.0
6,0.6233766233766234
7,0.0
8,0.8311688311688312
9,0.0
10,1.2467532467532467
11,0.0
12,0.0
13,0.0
14,1.6623376623376624
15,0.0
16,0.0
17,2.0779220779220777
18,2.0779220779220777
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,1.2467532467532467
26,1.0043290043290043
27,1.0389610389610389
28,1.2467532467532467
29,0.0
30,1.2467532467532467
31,0.0
32,0.4155844155844156
33,0.0
34,0.0
35,1.6623376623376624
36,0.8311688311688312
37,0.0
38,0.0
39,1.2467532467532467
40,0.0
41,0.8311688311688312
42,0.0
43,2.0779220779220777
44,0.8311688311688312
45,1.2467532467532467
46,0.4155844155844156
47,0.0
48,0.0
49,0.0
50,0.8311688311688312
51,0.2077922077922078
52,0.0
53,0.0
54,0.27705627705627706
55,0.0
56,1.2467532467532467
57,1.4891774891774892
58,0.0
59,0.4155844155844156
60,1.2467532467532467
61,0.0
62,0.05194805194805195
63,0.0
64,0.0
65,1.6623376623376624
66,0.0
67,0.0
68,1.1428571428571428
69,0.0
70,1.2467532467532467
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,1.6623376623376624
78,1.2467532467532467
79,0.0
80,0.0
81,0.4155844155844156
82,0.0
83,0.0
84,0.0
85,0.0
86,1.2467532467532467
87,0.0
88,1.2467532467532467
89,0.0
90,0.0
91,0.0
92,0.0
93,0.5194805194805194
94,0.0
95,0.3463203463203463
96,0.0
97,0.0
98,0.4155844155844156
99,0.0
100,1.6623376623376624
101,1.2467532467532467
102,0.4155844155844156
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.7272727272727273
109,0.0
110,1.6623376623376624
111,0.0
112,0.0
113,1.2467532467532467
114,0.2077922077922078
115,1.2467532467532467
116,0.8311688311688312
117,0.0
118,1.2467532467532467
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.8311688311688312
125,0.0
126,0.4155844155844156
127,1.2467532467532467
128,0.5541125541125541
129,1.2467532467532467
130,0.0
131,0.0
132,1.2467532467532467
133,1.2467532467532467
134,1.6623376623376624
135,0.0
136,0.0
137,0.0
138,1.3506493506493507
139,0.8311688311688312
140,1.1774891774891776
141,0.6233766233766234
142,0.0
143,0.0
144,0.0
145,1.2467532467532467
146,0.0
147,0.0
148,0.8311688311688312
149,0.0
150,0.0
151,0.0
152,0.0
153,1.6623376623376624
154,0.0
155,0.0
156,0.0
157,0.4155844155844156
158,0.0
159,0.0
160,0.0
161,0.0
162,0.4155844155844156
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,2.0779220779220777
169,0.8311688311688312
170,0.0
171,0.0
172,0.0
173,2.0779220779220777
174,0.0
175,0.0
176,0.0
177,1.2467532467532467
178,1.3852813852813852
179,0.0
180,0.0
181,0.0
182,0.0
183,0.2077922077922078
184,0.0
185,0.9004329004329005
186,0.6233766233766234
187,0.0
188,0.0
189,0.0
190,0.0
191,1.6623376623376624
192,0.0
193,1.5584415584415585
194,0.0
195,0.0
196,0.0
197,0.0
198,2.0779220779220777
199,2.4935064935064934
200,0.0
201,0.0
202,0.0
203,0.3463203463203463
204,0.0
205,0.4155844155844156
206,0.0
207,0.8311688311688312
208,0.0
209,0.0
210,0.0
211,1.2467532467532467
212,1.2467532467532467
213,0.8311688311688312
214,1.2467532467532467
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.4155844155844156
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.8311688311688312
238,0.0
239,0.0
240,1.2467532467532467
241,1.2467532467532467
242,0.0
243,0.0
244,0.935064935064935
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
