"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with?","currentWork1. Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with? [PERCENTAGE]"
Regularly change researcher(s),51.91489361702127
Same researcher(s),48.08510638297872
