Where was your previous job based?,prevEmp1. Where was your previous job based? [PERCENTAGE]
University,49.1869918699187
Private company,26.01626016260163
This is my first job,10.975609756097562
National laboratory,6.504065040650407
Government,3.2520325203252036
Other,3.2520325203252036
NGO,0.8130081300813009
