Please select the range of your salary,socio4. Please select the range of your salary
"< £18,031",7
"≥ £18,031 and < £24,057",4
"≥ £24,057 and < £32,277",36
"≥ £32,277 and < £43,325",99
"≥ £43,325 and < £58,172",56
"≥ £58,172",8
