,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8
Desire to work in a research environment,55,39,38,30,15,6,5,2.0
Desire to advance research,38,38,41,21,24,15,9,
Opportunity to develop software,32,33,26,25,24,10,12,10.0
I want to learn new skills,27,28,23,31,23,20,11,6.0
Freedom to choose own working practices,23,19,28,22,21,18,20,6.0
Opportunity for career advancement,20,23,16,14,14,18,16,17.0
Ability to work across disciplines,15,31,27,21,17,21,6,8.0
Flexible working hours,14,14,13,27,23,19,16,23.0
The salary,9,5,9,15,13,16,27,20.0
,20,23,32,47,79,110,131,161.0
