Which of the following sources are used to pay for your effort as an RSE/equivalent?,Count [PERCENTAGE]
Grants,61.278195488721806
Industry support,12.406015037593985
I volunteer my time,10.150375939849624
Consulting & services,6.390977443609022
Open core,2.631578947368421
Foundations & consortiums,2.2556390977443606
Trademark licensing & franchising,1.1278195488721803
SaaS,0.7518796992481203
Membership,0.7518796992481203
Dual license,0.7518796992481203
Crowdfunding (one-time),0.37593984962406013
Books & merchandise,0.37593984962406013
Advertising & sponsorships,0.37593984962406013
Venture capital,0.37593984962406013
Donation button,0.0
Crowdfunding (recurring),0.0
