Please select the range of your salary,socio4. Please select the range of your salary [PERCENTAGE]
"< £18,031",3.3333333333333335
"≥ £18,031 and < £24,057",1.9047619047619049
"≥ £24,057 and < £32,277",17.142857142857142
"≥ £32,277 and < £43,325",47.14285714285714
"≥ £43,325 and < £58,172",26.666666666666668
"≥ £58,172",3.8095238095238098
