"In an average month, how much time do you spend on:",Software development,Research,People management,Project management,Teaching,Other activities
1 (None at all),1.4492753623188406,13.043478260869565,29.565217391304348,9.27536231884058,31.594202898550726,15.072463768115943
2,3.99002493765586,14.463840399002494,18.952618453865338,21.44638403990025,19.201995012468828,21.94513715710723
3,10.666666666666668,16.444444444444446,14.666666666666666,25.77777777777778,14.666666666666666,17.77777777777778
4,23.48993288590604,19.463087248322147,10.738255033557047,15.436241610738255,11.409395973154362,19.463087248322147
5,29.914529914529915,21.367521367521366,5.128205128205128,22.22222222222222,5.128205128205128,16.23931623931624
6,30.0,25.0,8.75,13.750000000000002,10.0,12.5
7,51.546391752577314,20.618556701030926,7.216494845360824,9.278350515463918,1.0309278350515463,10.309278350515463
8,68.33333333333333,16.666666666666664,8.333333333333332,6.666666666666667,0.0,0.0
9,55.172413793103445,24.137931034482758,0.0,6.896551724137931,3.4482758620689653,10.344827586206897
10 (All my time),46.666666666666664,13.333333333333334,6.666666666666667,13.333333333333334,6.666666666666667,13.333333333333334
